,startIdx,endIdx,length
0,432,877,445
1,1673,5027,3354
2,6600,11245,4645
3,12164,15657,3493
4,17287,26804,9517
5,28793,38310,9517
6,40464,49981,9517
7,50854,51506,652
8,55655,56998,1343
9,59577,60229,652
10,64052,64192,140
11,66669,71314,4645
12,74081,74526,445
13,75322,78676,3354
14,80408,81899,1491
15,82330,82360,30
16,83367,83412,45
17,86736,88227,1491
18,88658,88688,30
19,89695,89740,45
20,97519,101246,3727
21,103485,107212,3727
22,118881,119310,429
23,120892,120956,64
24,129860,129864,4
25,130322,130327,5
26,132922,132926,4
27,135084,135089,5
28,151460,151465,5
29,155549,155576,27
30,158557,158562,5
31,162244,163027,783
32,163638,165700,2062
33,165870,167752,1882
34,168430,168445,15
35,196304,196307,3
36,197215,197218,3
37,199215,199220,5
38,256028,256031,3
39,258558,258563,5
40,282469,282490,21
41,286673,286678,5
42,287357,287360,3
43,287415,287419,4
44,297093,297867,774
45,299778,301575,1797
46,309997,310004,7
47,323034,323261,227
48,327880,327883,3
49,328260,328263,3
50,337459,337464,5
51,337713,337718,5
52,342229,342237,8
53,347949,347954,5
54,369398,369405,7
55,371400,371411,11
56,372377,372380,3
57,378943,378949,6
58,383601,383607,6
59,383789,383792,3
60,384864,384869,5
61,384898,384904,6
62,387055,387063,8
63,387078,387086,8
64,387640,387644,4
65,392140,392145,5
66,394952,394959,7
67,395618,395637,19
68,401292,401295,3
69,409373,409381,8
70,420325,420340,15
71,421151,421158,7
72,422281,422287,6
73,422414,422419,5
74,422613,422616,3
75,424123,424129,6
76,425436,425444,8
77,430725,430729,4
78,435373,435384,11
79,435676,435681,5
80,444503,444521,18
81,448713,448724,11
82,450838,450841,3
83,457638,457643,5
84,462783,462786,3
85,464979,464986,7
86,477180,477185,5
87,493450,493454,4
88,509491,509497,6
89,510094,510101,7
90,518833,518838,5
91,526889,526903,14
92,528393,528398,5
93,550201,550207,6
94,553342,553865,523
95,554682,555132,450
96,557043,558623,1580
97,563637,565412,1775
98,567197,567203,6
99,573320,573323,3
100,578735,578762,27
101,591436,591441,5
102,598506,598512,6
103,599997,600001,4
104,627173,627179,6
105,635426,635430,4
106,637684,637688,4
107,637842,637849,7
108,640079,640084,5
109,644228,644546,318
110,644762,645080,318
111,646439,646444,5
112,651404,651409,5
113,653572,653578,6
114,653694,653711,17
115,665675,665680,5
116,667718,667721,3
117,684471,684482,11
118,688037,688040,3
119,697265,697272,7
120,705285,705306,21
121,710691,710706,15
122,721739,721744,5
123,733671,733682,11
124,754687,754690,3
125,754872,754875,3
126,769070,769076,6
127,769403,769409,6
128,770242,770247,5
129,788078,788085,7
130,798664,798672,8
131,805021,805025,4
132,808341,808356,15
133,813194,813638,444
134,814400,814415,15
135,814654,814785,131
136,815202,816399,1197
137,829025,833486,4461
138,833829,835138,1309
139,836290,836297,7
140,876328,876335,7
141,907963,907987,24
142,908712,908718,6
143,911544,911548,4
144,924896,924899,3
145,938202,938207,5
146,977768,977776,8
147,985481,985487,6
148,1025455,1025463,8
149,1035300,1037099,1799
150,1039010,1039258,248
151,1049034,1049037,3
152,1062159,1062164,5
153,1065260,1067165,1905
154,1068180,1072294,4114
155,1077239,1077247,8
156,1077408,1077416,8
157,1079579,1079582,3
158,1080178,1080181,3
159,1093267,1093270,3
160,1095518,1095522,4
161,1108759,1108767,8
162,1125488,1125492,4
163,1125502,1125510,8
164,1145095,1145110,15
165,1146259,1146264,5
166,1181252,1181258,6
167,1188720,1188726,6
168,1194514,1194519,5
169,1212566,1212577,11
170,1215456,1215459,3
171,1221185,1221190,5
172,1223287,1223294,7
173,1230149,1230155,6
174,1239374,1239378,4
175,1246321,1246326,5
176,1251970,1251973,3
177,1261516,1261530,14
178,1262312,1262318,6
179,1283252,1283255,3
180,1297176,1297179,3
181,1298787,1298793,6
182,1298835,1298852,17
183,1301012,1301015,3
184,1303787,1303815,28
185,1307479,1307492,13
186,1318112,1318126,14
187,1324047,1324052,5
188,1327898,1327901,3
189,1329825,1329831,6
190,1333836,1333842,6
191,1334126,1334139,13
192,1340717,1340723,6
193,1342238,1342241,3
194,1345075,1345078,3
195,1353766,1353772,6
196,1358052,1358138,86
197,1358735,1358754,19
198,1359560,1361784,2224
199,1362101,1362417,316
200,1362586,1362683,97
201,1364592,1365976,1384
202,1366450,1366551,101
203,1382327,1382336,9
204,1382352,1382356,4
205,1382382,1382386,4
206,1382835,1382840,5
207,1383557,1383566,9
208,1383699,1383703,4
209,1385642,1385646,4
210,1387723,1387731,8
211,1389410,1389414,4
212,1397189,1397203,14
213,1402025,1402032,7
214,1404005,1404009,4
215,1427842,1427849,7
216,1433710,1433713,3
217,1438821,1439264,443
218,1440728,1440734,6
219,1443150,1443260,110
220,1443483,1443593,110
221,1451064,1451069,5
222,1451521,1451530,9
223,1453055,1453058,3
224,1454999,1455002,3
225,1460267,1460271,4
226,1464057,1464063,6
227,1472339,1472347,8
228,1492001,1492008,7
229,1492037,1492043,6
230,1515571,1515575,4
231,1517069,1517073,4
232,1518235,1518257,22
233,1518742,1519804,1062
234,1520126,1520156,30
235,1521163,1521704,541
236,1521795,1522430,635
237,1522677,1523141,464
238,1523202,1523237,35
239,1532759,1532766,7
240,1535025,1535032,7
241,1559310,1559314,4
242,1564559,1564563,4
243,1568368,1568450,82
244,1591497,1591504,7
245,1592960,1592966,6
246,1593760,1593763,3
247,1600368,1600375,7
248,1601933,1601937,4
249,1603447,1603454,7
250,1604101,1604105,4
251,1611602,1611609,7
252,1611939,1611943,4
253,1611967,1611980,13
254,1617037,1617041,4
255,1621046,1621050,4
256,1627619,1627626,7
257,1628079,1628165,86
258,1629602,1629723,121
259,1630280,1630418,138
260,1631048,1632182,1134
261,1632694,1633149,455
262,1634995,1635081,86
263,1635512,1635516,4
264,1640013,1640019,6
265,1640689,1640692,3
266,1642150,1642154,4
267,1650516,1650528,12
268,1652739,1652745,6
269,1654822,1654830,8
270,1659794,1659799,5
271,1671091,1671097,6
272,1673283,1673294,11
273,1679401,1679415,14
274,1681100,1681104,4
275,1684459,1684465,6
276,1688256,1688265,9
277,1690264,1690269,5
278,1690381,1690387,6
279,1691681,1691686,5
280,1706623,1706628,5
281,1737412,1740369,2957
282,1740487,1742403,1916
283,1742926,1744831,1905
284,1746328,1746333,5
285,1757669,1757673,4
286,1794548,1794553,5
287,1801174,1801178,4
288,1818910,1818931,21
289,1825730,1825733,3
290,1834806,1834811,5
291,1843419,1843423,4
292,1846699,1846718,19
293,1854008,1854013,5
294,1854740,1854753,13
295,1856656,1856660,4
296,1857482,1857488,6
297,1869673,1869677,4
298,1871460,1871469,9
299,1882675,1882681,6
300,1889424,1889431,7
301,1893503,1893506,3
302,1902668,1902675,7
303,1905271,1905279,8
304,1920719,1920727,8
305,1930749,1931699,950
306,1932134,1932610,476
307,1932951,1933233,282
308,1934117,1934339,222
309,1935235,1935974,739
310,1937201,1937479,278
311,1937746,1937966,220
312,1939086,1939094,8
313,1939812,1939817,5
314,1955190,1955212,22
315,1956666,1960028,3362
316,1962649,1962671,22
317,1982741,1982746,5
318,1983653,1983659,6
319,1997046,1997049,3
320,2002692,2002703,11
321,2007166,2007171,5
322,2013715,2013719,4
323,2017941,2017952,11
324,2018218,2018222,4
325,2024552,2024559,7
326,2036657,2036666,9
327,2039509,2039512,3
328,2045569,2045574,5
329,2046817,2046822,5
330,2048346,2048352,6
331,2050070,2050079,9
332,2050462,2050468,6
333,2050537,2050540,3
334,2050954,2050961,7
335,2054372,2054377,5
336,2060777,2060782,5
337,2062482,2062488,6
338,2067257,2067264,7
339,2068006,2068010,4
340,2068647,2068654,7
341,2080758,2080765,7
342,2083274,2083280,6
343,2085002,2085010,8
344,2091162,2091173,11
345,2091328,2091336,8
346,2109287,2109290,3
347,2112998,2113003,5
348,2114016,2114021,5
349,2117101,2117105,4
350,2117436,2117819,383
351,2120735,2120809,74
352,2121937,2121940,3
353,2127379,2127762,383
354,2130639,2130713,74
355,2133925,2133930,5
356,2144445,2144453,8
357,2149267,2149270,3
358,2154081,2154092,11
359,2155026,2155030,4
360,2156640,2156644,4
361,2157191,2157196,5
362,2188098,2188103,5
363,2195124,2195135,11
364,2195475,2195480,5
365,2199957,2199965,8
366,2200122,2200130,8
367,2204447,2204451,4
368,2219688,2219694,6
369,2219782,2219786,4
370,2219914,2219917,3
371,2224461,2224469,8
372,2224719,2224727,8
373,2230838,2230843,5
374,2248773,2248783,10
375,2249654,2249660,6
376,2250691,2250695,4
377,2253324,2253329,5
378,2254257,2254261,4
379,2254811,2254816,5
380,2255630,2255635,5
381,2261951,2261956,5
382,2266899,2266905,6
383,2271703,2271708,5
384,2295134,2295139,5
385,2302639,2302653,14
386,2308859,2311929,3070
387,2312409,2316372,3963
388,2316475,2316967,492
389,2317567,2317572,5
390,2336822,2336828,6
391,2342037,2342040,3
392,2343113,2343117,4
393,2344036,2344044,8
394,2360186,2360192,6
395,2365212,2365219,7
396,2365793,2365799,6
397,2374993,2375000,7
398,2375862,2375869,7
399,2376895,2376899,4
400,2380258,2380262,4
401,2387155,2387166,11
402,2387330,2387345,15
403,2391049,2391052,3
404,2395329,2395335,6
405,2401324,2405785,4461
406,2406505,2406691,186
407,2407195,2407935,740
408,2411996,2412004,8
409,2416268,2416287,19
410,2425136,2425141,5
411,2430624,2430627,3
412,2432734,2432741,7
413,2433782,2433788,6
414,2435337,2435344,7
415,2438866,2438884,18
416,2439585,2439593,8
417,2439663,2439669,6
418,2451162,2451165,3
419,2454202,2454208,6
420,2454967,2454973,6
421,2461228,2461232,4
422,2464673,2464686,13
423,2467498,2467505,7
424,2474499,2474506,7
425,2474875,2474879,4
426,2481210,2481216,6
427,2482114,2482122,8
428,2482756,2482762,6
429,2485865,2485872,7
430,2488667,2488674,7
431,2500787,2500790,3
432,2521331,2521338,7
433,2530012,2530017,5
434,2531363,2531374,11
435,2535615,2535624,9
436,2537760,2537765,5
437,2538309,2538318,9
438,2540169,2540172,3
439,2540394,2540398,4
440,2544603,2544611,8
441,2549061,2549067,6
442,2578393,2578399,6
443,2579817,2579822,5
444,2580478,2580487,9
445,2582543,2582548,5
446,2584895,2584898,3
447,2587117,2587123,6
448,2598213,2598222,9
449,2600936,2600942,6
450,2601563,2601569,6
451,2601686,2601692,6
452,2607193,2607199,6
453,2610468,2615684,5216
454,2616997,2617266,269
455,2622253,2622258,5
