,startIdx,endIdx,length
0,0,869,869
1,7065,11245,4180
2,52401,53948,1547
3,59042,61123,2081
4,67134,74518,7384
5,92901,99630,6729
6,103485,111663,8178
7,118132,124431,6299
8,136271,143984,7713
9,144165,144545,380
10,150659,155282,4623
11,160736,164325,3589
12,173260,174176,916
13,175110,178233,3123
14,189302,191705,2403
15,247361,248264,903
16,295260,301575,6315
17,306332,308860,2528
18,329991,341196,11205
19,341485,351728,10243
20,353819,354655,836
21,382529,383859,1330
22,411851,413357,1506
23,420876,426620,5744
24,431133,441461,10328
25,449811,452467,2656
26,452911,462609,9698
27,468466,468585,119
28,471485,474473,2988
29,481447,487046,5599
30,491557,494442,2885
31,501941,508661,6720
32,509350,515893,6543
33,536901,548051,11150
34,553333,554146,813
35,560478,562942,2464
36,578050,579978,1928
37,605162,610881,5719
38,612350,620728,8378
39,630654,631499,845
40,634151,635754,1603
41,654315,658638,4323
42,691112,697147,6035
43,697811,708022,10211
44,720674,722120,1446
45,726524,739015,12491
46,748951,754761,5810
47,757003,761909,4906
48,769198,770645,1447
49,795998,797115,1117
50,810105,815463,5358
51,821168,824430,3262
52,833018,841206,8188
53,841479,842439,960
54,844532,846836,2304
55,907118,910686,3568
56,914430,915416,986
57,941067,949963,8896
58,955067,955782,715
59,957147,958130,983
60,979514,986214,6700
61,988983,992916,3933
62,996575,1006251,9676
63,1028973,1031456,2483
64,1035300,1036113,813
65,1046615,1047132,517
66,1055531,1058745,3214
67,1093267,1093720,453
68,1106689,1113785,7096
69,1124060,1125808,1748
70,1127617,1133343,5726
71,1136853,1138191,1338
72,1139537,1140645,1108
73,1145937,1146526,589
74,1153246,1154111,865
75,1159266,1163835,4569
76,1176332,1179744,3412
77,1192415,1194097,1682
78,1230115,1230452,337
79,1265656,1271745,6089
80,1275763,1277557,1794
81,1278566,1291425,12859
82,1319825,1324781,4956
83,1326358,1328189,1831
84,1332181,1335714,3533
85,1337576,1338673,1097
86,1346472,1351302,4830
87,1352171,1362683,10512
88,1373510,1381996,8486
89,1395937,1398090,2153
90,1400063,1400647,584
91,1402876,1402941,65
92,1420167,1426710,6543
93,1436187,1439486,3299
94,1444598,1444924,326
95,1452132,1454645,2513
96,1466663,1468290,1627
97,1494854,1505836,10982
98,1514141,1517353,3212
99,1520126,1521676,1550
100,1556792,1560316,3524
101,1578768,1581215,2447
102,1603673,1604633,960
103,1615006,1619817,4811
104,1629669,1634146,4477
105,1639616,1644610,4994
106,1651048,1654447,3399
107,1663973,1669215,5242
108,1684055,1696890,12835
109,1718943,1720071,1128
110,1732271,1735081,2810
111,1754202,1759017,4815
112,1765250,1771651,6401
113,1783061,1784489,1428
114,1787747,1793127,5380
115,1809299,1810073,774
116,1821089,1821788,699
117,1823717,1824372,655
118,1856840,1863444,6604
119,1870076,1870403,327
120,1879012,1880300,1288
121,1895559,1895751,192
122,1902569,1906280,3711
123,1912252,1915585,3333
124,1945062,1953477,8415
125,1957497,1959056,1559
126,1964721,1967562,2841
127,1978002,1985797,7795
128,1988386,1988988,602
129,1991267,1991521,254
130,2023515,2023692,177
131,2042668,2047697,5029
132,2058019,2058052,33
133,2063503,2065224,1721
134,2102456,2103098,642
135,2122093,2127257,5164
136,2144032,2148215,4183
137,2174609,2176848,2239
138,2180486,2182659,2173
139,2196076,2198999,2923
140,2202850,2205354,2504
141,2240354,2241283,929
142,2257259,2272371,15112
143,2277857,2278424,567
144,2280031,2288908,8877
145,2319142,2320869,1727
146,2322742,2336162,13420
147,2347050,2354856,7806
148,2371254,2374319,3065
149,2393754,2405316,11562
150,2450894,2453461,2567
151,2458297,2459073,776
152,2459415,2460883,1468
153,2477434,2477519,85
154,2479726,2480502,776
155,2481892,2482425,533
156,2500542,2505494,4952
157,2547297,2547320,23
158,2548269,2548692,423
159,2572629,2573717,1088
160,2618120,2628058,9938
161,2636913,2642578,5665
162,2648846,2653965,5119
163,2668046,2670220,2174
164,2672377,2677026,4649
165,2685401,2692615,7214
166,2703752,2708231,4479
167,2720400,2726687,6287
168,2735318,2739036,3718
169,2740016,2747243,7227
170,2749769,2750050,281
171,2753590,2757464,3874
172,2760881,2762078,1197
173,2769831,2777720,7889
174,2786772,2795961,9189
175,2802538,2810964,8426
176,2818195,2839153,20958
177,2854356,2876395,22039
178,2879306,2887709,8403
179,2932308,2947945,15637
180,2995669,2997018,1349
181,3003435,3019431,15996
182,3026884,3028068,1184
183,3033076,3034781,1705
184,3061117,3061771,654
185,3064447,3065113,666
186,3075751,3080669,4918
187,3092050,3093884,1834
188,3098239,3098298,59
189,3120161,3122464,2303
190,3133890,3135439,1549
191,3143284,3156821,13537
192,3161200,3174832,13632
193,3187533,3192775,5242
194,3197677,3197789,112
195,3209394,3211343,1949
196,3243152,3244264,1112
197,3250819,3252825,2006
198,3262104,3262171,67
